step,time_s,component,inventory_mol_m2,cumulative_net_in_mol_m2,balance_error_mol_m2,chemistry_error_mol_m3,water_relative_mismatch
28,28.0,H,2187.459585148999,-0.00010363104133958739,1.905519791706601e-11,1.0615508472255897e-08,3.757202154286432e-06
28,28.0,Na,14.758321307831899,-4.966045821043828e-07,7.170170659737563e-14,1.0615508472255897e-08,3.757202154286432e-06
28,28.0,O,1093.7297925745006,-5.1815520663465505e-05,1.0430765470380732e-11,1.0615508472255897e-08,3.757202154286432e-06
28,28.0,Zz,0.0,0.0,0.0,1.0615508472255897e-08,3.757202154286432e-06
29,29.0,Cl,14.758321298697254,-5.057392241125103e-07,6.866945792460881e-14,1.0629719326971099e-08,3.757202154952566e-06
29,29.0,H,2187.4595832427876,-0.00010553725108554994,1.7491472530909054e-11,1.0629719326971099e-08,3.757202154952566e-06
29,29.0,Na,14.758321298697252,-5.057392240740578e-07,6.68546485422603e-14,1.0629719326971099e-08,3.757202154952566e-06
29,29.0,O,1093.7297916213963,-5.27686255362124e-05,1.101291045255701e-11,1.0629719326971099e-08,3.757202154952566e-06
29,29.0,Zz,0.0,0.0,0.0,1.0629719326971099e-08,3.757202154952566e-06
30,30.0,Cl,14.75832128972522,-5.147112605105547e-07,7.1284918529965e-14,1.0629719326971099e-08,3.7572021422960233e-06
30,30.0,H,2187.459581370511,-0.00010740952836646359,1.8074263453634644e-11,1.0629719326971099e-08,3.7572021422960233e-06
30,30.0,Na,14.758321289725222,-5.147112604611157e-07,7.301183638557462e-14,1.0629719326971099e-08,3.7572021422960233e-06
30,30.0,O,1093.7297906852573,-5.370476417643485e-05,1.0621950510185472e-11,1.0629719326971099e-08,3.7572021422960233e-06
30,30.0,Zz,0.0,0.0,0.0,1.0629719326971099e-08,3.7572021422960233e-06
31,31.0,Cl,14.758321280907357,-5.235291095218963e-07,5.6523767790634674e-14,1.0544454198679887e-08,3.7572021316378823e-06
31,31.0,H,2187.459579530411,-0.00010924962993358075,1.9501564547789486e-11,1.0544454198679887e-08,3.7572021316378823e-06
31,31.0,Na,14.758321280907358,-5.235291094468222e-07,5.822505061761212e-14,1.0544454198679887e-08,3.7572021316378823e-06
31,31.0,O,1093.7297897652068,-5.462481495975905e-05,1.0880619328971792e-11,1.0544454198679887e-08,3.7572021316378823e-06
31,31.0,Zz,0.0,0.0,0.0,1.0544454198679887e-08,3.7572021316378823e-06
32,32.0,Cl,14.758321272236005,-5.322004838429293e-07,7.920806545973555e-14,1.0686562745831907e-08,3.7572021411858003e-06
32,32.0,H,2187.459577720875,-0.00011105916510544805,1.9012563577539346e-11,1.0686562745831907e-08,3.7572021411858003e-06
32,32.0,Na,14.758321272236005,-5.322004837678553e-07,7.913299144731274e-14,1.0686562745831907e-08,3.7572021411858003e-06
32,32.0,O,1093.7297888604394,-5.552958254545833e-05,1.1090631817328549e-11,1.0686562745831907e-08,3.7572021411858003e-06
32,32.0,Zz,0.0,0.0,0.0,1.0686562745831907e-08,3.7572021411858003e-06
