x,c_Ca(CO3)@,c_Ca+2,c_Mg(CO3)@,c_Mg+2,c_CO3-2,c_HCO3-,c_Cl-,c_OH-,c_H+,pH,Calcite_mol_m3,Dolomite-dis_mol_m3
0.25,0.005531238468313703,0.12593156353133175,0.0016508334773928956,0.06599317260688833,0.03274216252065477,0.08114401573944487,0.15608338425133547,0.08113787692657232,1.296822219793425e-07,9.898093943457098,0.20471698058703655,0.0
0.25499999999999995,0.005531299998678348,0.12374586207833974,0.0013053603366449218,0.051242201465717785,0.0330100219808091,0.08157372082601261,0.12081268504097989,0.08156980598417804,1.2872465549188474e-07,9.900897038405423,0.20472941011377255,0.0
0.255,0.0055312981121080455,0.12372442868415007,0.0013021295665786791,0.051116430793629555,0.033013064753298724,0.08157819623397086,0.12050320653863643,0.08157431539057416,1.2871421436310027e-07,9.900925428785795,0.20471368114318783,0.0
0.25999999999999995,0.0055314354278352944,0.1219911289337019,0.00101146245902473,0.039168558820649,0.03322469923632443,0.0819132967721029,0.09204582205249834,0.08191098611592815,1.2790447646563515e-07,9.90314328292904,0.20472257269350772,0.0
0.26,0.005531433541447112,0.12197292689383632,0.0010086599045776028,0.03905423424408977,0.033227073475061666,0.08191699354586357,0.09176860420345373,0.08191470547255912,1.2789614755086396e-07,9.903167232513947,0.20473202068515153,0.0
0.26000000000000006,0.005531434819171509,0.12197290133399286,0.0010088102504808632,0.03906003760021371,0.03322725473033176,0.08191708630715046,0.09177960659840215,0.08191480339775498,1.2789555794546035e-07,9.903167706093027,0.20473234557356196,0.0
0.26499999999999996,0.0055316332903885355,0.12061879468749713,0.0007714592363697936,0.02953587422023988,0.033379989807478694,0.08218206086259375,0.06918655603275044,0.08218086864461065,1.2733943823064133e-07,9.904905662632988,0.20472649449212188,0.0
0.265,0.00553163432943585,0.12060384343520203,0.0007690239393563685,0.029439003917093066,0.033381926649023175,0.08218504432034093,0.0689530561078677,0.08218386831050725,1.273321720279808e-07,9.90492525650367,0.2047273178658242,0.0
0.26500000000000007,0.00553163348363005,0.12060330194245371,0.0007690643931028056,0.029440423821979804,0.0333820974004173,0.08218523392524266,0.06895408805128264,0.0821840620833315,1.2733182436098243e-07,9.904926277611036,0.20472902034229096,0.0
0.26999999999999996,0.005531876572151998,0.11956237519861453,0.0005790208827616558,0.021974133406247338,0.03350084317472868,0.08238062533536696,0.05131062981557701,0.08238020254942718,1.2684010479188326e-07,9.906245668551378,0.20472531150158255,0.0
0.27,0.005531878066764525,0.11955029139778109,0.000576962130423139,0.02189380039903263,0.03350233926427259,0.08238298762619195,0.05111806798788875,0.08238257628526713,1.268342655618083e-07,9.90626137423931,0.20472476897692093,0.0
0.2700000000000001,0.00553187742770433,0.119549469417118,0.0005769242610817118,0.021892215907776957,0.033502522301410556,0.08238321230377968,0.051112436362904315,0.0823828042140775,1.2683379268414144e-07,9.906262689273309,0.2047255775726941,0.0
0.27499999999999997,0.005532119430086526,0.11876084674550447,0.0004279278821526483,0.016131181873979154,0.03358843804033936,0.08252866437410075,0.03754987874748148,0.08252876450105287,1.2646434655127448e-07,9.907255300796852,0.2047299151778166,0.0
0.275,0.005532123048997858,0.11875130332705477,0.0004262308641221435,0.01606591234998503,0.03358955363198925,0.08253054985540681,0.03739424275319296,0.08253065794160844,1.2646010716067913e-07,9.90726770334937,0.20470604703546633,0.0
0.2750000000000001,0.005532122156729878,0.11875035167826929,0.0004261429797058751,0.016062476057409035,0.033589732298269524,0.08253077142410696,0.03738466393795103,0.08253088197228495,1.264595253415985e-07,9.9072690996231,0.20472685235250251,0.0
0.27999999999999997,0.005532344455993517,0.11816316267694238,0.0003115868156010449,0.011685897859621035,0.03365023932327072,0.08263903382912416,0.027119249424827678,0.08263948537251165,1.2619987806703057e-07,9.908006738409417,0.20473492973227594,0.0
